,Team,Win PCT,seasonEncoded
209,Chicago,0.725,14
210,San Antonio,0.716,14
211,Miami,0.706,14
212,Dallas,0.706,14
213,Boston,0.67,14
214,LA Lakers,0.663,14
215,Okla City,0.647,14
216,Orlando,0.614,14
217,Denver,0.586,14
218,Portland,0.568,14
219,Memphis,0.558,14
220,New Orleans,0.546,14
221,Atlanta,0.532,14
222,Houston,0.524,14
223,New York,0.488,14
224,Phoenix,0.488,14
225,Philadelphia,0.483,14
226,Utah,0.476,14
227,Golden State,0.439,14
228,Indiana,0.437,14
229,Milwaukee,0.427,14
230,Charlotte,0.415,14
231,LA Clippers,0.39,14
232,Detroit,0.366,14
233,Sacramento,0.293,14
234,Brooklyn,0.293,14
235,Washington,0.281,14
236,Toronto,0.268,14
237,Cleveland,0.232,14
238,Minnesota,0.207,14
239,San Antonio,0.75,15
240,Okla City,0.723,15
241,Chicago,0.722,15
242,Miami,0.686,15
243,Indiana,0.623,15
244,Memphis,0.603,15
245,LA Lakers,0.59,15
246,Atlanta,0.583,15
247,Boston,0.581,15
248,LA Clippers,0.571,15
249,Denver,0.562,15
250,Orlando,0.535,15
251,Philadelphia,0.532,15
252,New York,0.521,15
253,Houston,0.515,15
254,Utah,0.514,15
255,Dallas,0.514,15
256,Phoenix,0.5,15
257,Milwaukee,0.47,15
258,Portland,0.424,15
259,Minnesota,0.394,15
260,Detroit,0.379,15
261,Golden State,0.349,15
262,Toronto,0.349,15
263,Brooklyn,0.333,15
264,Sacramento,0.333,15
265,Cleveland,0.318,15
266,New Orleans,0.318,15
267,Washington,0.303,15
268,Charlotte,0.106,15
269,Miami,0.784,16
270,San Antonio,0.72,16
271,Okla City,0.699,16
272,Denver,0.671,16
273,Memphis,0.66,16
274,LA Clippers,0.659,16
275,New York,0.638,16
276,Indiana,0.6,16
277,Brooklyn,0.584,16
278,Golden State,0.564,16
279,Houston,0.534,16
280,Chicago,0.532,16
281,Utah,0.524,16
282,LA Lakers,0.523,16
283,Atlanta,0.523,16
284,Dallas,0.5,16
285,Boston,0.494,16
286,Milwaukee,0.442,16
287,Toronto,0.415,16
288,Philadelphia,0.415,16
289,Portland,0.402,16
290,Minnesota,0.378,16
291,Detroit,0.354,16
292,Washington,0.354,16
293,Sacramento,0.342,16
294,New Orleans,0.329,16
295,Phoenix,0.305,16
296,Cleveland,0.293,16
297,Charlotte,0.256,16
298,Orlando,0.244,16
299,San Antonio,0.74,17
300,Okla City,0.683,17
301,Miami,0.663,17
302,LA Clippers,0.663,17
303,Indiana,0.654,17
304,Houston,0.636,17
305,Portland,0.634,17
306,Golden State,0.607,17
307,Memphis,0.596,17
308,Phoenix,0.585,17
309,Dallas,0.584,17
310,Toronto,0.573,17
311,Chicago,0.563,17
312,Washington,0.538,17
313,Brooklyn,0.521,17
314,Charlotte,0.5,17
315,Minnesota,0.488,17
316,Atlanta,0.461,17
317,New York,0.451,17
318,Denver,0.439,17
319,New Orleans,0.415,17
320,Cleveland,0.402,17
321,Detroit,0.354,17
322,Sacramento,0.342,17
323,LA Lakers,0.329,17
324,Utah,0.305,17
325,Boston,0.305,17
326,Orlando,0.281,17
327,Philadelphia,0.232,17
328,Milwaukee,0.183,17
329,Golden State,0.804,18
330,Atlanta,0.694,18
331,Cleveland,0.663,18
332,Houston,0.657,18
333,LA Clippers,0.656,18
334,Memphis,0.656,18
335,San Antonio,0.652,18
336,Portland,0.598,18
337,Chicago,0.596,18
338,Dallas,0.586,18
339,Toronto,0.57,18
340,Washington,0.565,18
341,Okla City,0.549,18
342,New Orleans,0.523,18
343,Milwaukee,0.489,18
344,Phoenix,0.476,18
345,Boston,0.465,18
346,Utah,0.463,18
347,Indiana,0.463,18
348,Brooklyn,0.455,18
349,Miami,0.451,18
350,Charlotte,0.402,18
351,Detroit,0.39,18
352,Denver,0.366,18
353,Sacramento,0.354,18
354,Orlando,0.305,18
355,LA Lakers,0.256,18
356,Philadelphia,0.22,18
357,New York,0.207,18
358,Minnesota,0.195,18
359,Golden State,0.846,19
360,San Antonio,0.794,19
361,Cleveland,0.703,19
362,Okla City,0.66,19
363,Toronto,0.647,19
364,LA Clippers,0.625,19
365,Charlotte,0.573,19
366,Miami,0.573,19
367,Boston,0.568,19
368,Atlanta,0.565,19
369,Indiana,0.539,19
370,Portland,0.527,19
371,Chicago,0.512,19
372,Detroit,0.512,19
373,Washington,0.5,19
374,Dallas,0.494,19
375,Memphis,0.488,19
376,Utah,0.488,19
377,Houston,0.483,19
378,Orlando,0.427,19
379,Sacramento,0.402,19
380,Milwaukee,0.402,19
381,Denver,0.402,19
382,New York,0.39,19
383,New Orleans,0.366,19
384,Minnesota,0.354,19
385,Phoenix,0.281,19
386,Brooklyn,0.256,19
387,LA Lakers,0.207,19
